SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,region
44825,Taean-gun,태안군,891072.6614,1857328.361,충청남도/태안군
45111,"Wansan-gu, Jeonju-si",전주시 완산구,965730.4679,1755046.669,전라북도/전주시/완산구
45113,"Deokjin-gu, Jeonju-si",전주시 덕진구,964945.6734,1762489.17,전라북도/전주시/덕진구
45130,Gunsan-si,군산시,930198.3076,1772913.208,전라북도/군산시
45140,Iksan-si,익산시,954004.0009,1780816.691,전라북도/익산시
45180,Jeongeup-si,정읍시,946183.6893,1734222.604,전라북도/정읍시
45190,Namwon-si,남원시,994724.7454,1714089.844,전라북도/남원시
45210,Gimje-si,김제시,945329.393,1756864.713,전라북도/김제시
45710,Wanju-gun,완주군,974297.5706,1769144.132,전라북도/완주군
45720,Jinan-gun,진안군,993680.6599,1759148.208,전라북도/진안군
45730,Muju-gun,무주군,1019207.652,1771429.371,전라북도/무주군
45740,Jangsu-gun,장수군,1004006.597,1740142.837,전라북도/장수군
45750,Imsil-gun,임실군,976144.7915,1733601.573,전라북도/임실군
45770,Sunchang-gun,순창군,962793.0584,1715395.328,전라북도/순창군
45790,Gochang-gun,고창군,919778.9695,1717288.878,전라북도/고창군
45800,Buan-gun,부안군,922569.5602,1742748.056,전라북도/부안군
46110,Mokpo-si,목포시,898635.0925,1646026.128,전라남도/목포시
46130,Yeosu-si,여수시,1014045.133,1633761.512,전라남도/여수시
46150,Suncheon-si,순천시,989885.2669,1666650.902,전라남도/순천시
46170,Naju-si,나주시,928850.5196,1666240.221,전라남도/나주시
46230,Gwangyang-si,광양시,1014146.405,1669570.799,전라남도/광양시
46710,Damyang-gun,담양군,954108.1801,1699671.3,전라남도/담양군
46720,Gokseong-gun,곡성군,978483.5003,1691275.693,전라남도/곡성군
46730,Gurye-gun,구례군,1000283.815,1693485.036,전라남도/구례군
46770,Goheung-gun,고흥군,983001.5878,1622718.64,전라남도/고흥군
46780,Boseong-gun,보성군,969098.4864,1646695.261,전라남도/보성군
46790,Hwasun-gun,화순군,957429.1164,1668235.251,전라남도/화순군
46800,Jangheung-gun,장흥군,947007.7359,1631501.644,전라남도/장흥군
46810,Gangjin-gun,강진군,933277.1609,1625375.053,전라남도/강진군
46820,Haenam-gun,해남군,909334.2199,1618731.838,전라남도/해남군
46830,Yeongam-gun,영암군,920480.416,1645345.415,전라남도/영암군
46840,Muan-gun,무안군,901929.2587,1662565.305,전라남도/무안군
46860,Hampyeong-gun,함평군,912116.6591,1680148.338,전라남도/함평군
46870,Yeonggwang-gun,영광군,904794.321,1698614.165,전라남도/영광군
46880,Jangseong-gun,장성군,933517.086,1704021.904,전라남도/장성군
46890,Wando-gun,완도군,933446.2394,1589351.673,전라남도/완도군
46900,Jindo-gun,진도군,881949.2472,1605810.794,전라남도/진도군
46910,Sinan-gun,신안군,867278.8922,1647384.567,전라남도/신안군
47111,"Nam-gu, Pohang-si",포항시 남구,1174734.896,1775254.102,경상북도/포항시/남구
47113,"Buk-gu, Pohang-si",포항시 북구,1155967.061,1797833.71,경상북도/포항시/북구
47130,Gyeongju-si,경주시,1156804.53,1760296.521,경상북도/경주시
47150,Gimcheon-si,김천시,1052027.933,1784989.757,경상북도/김천시
47170,Andong-si,안동시,1114518.952,1843256.33,경상북도/안동시
47190,Gumi-si,구미시,1076907.733,1801466.703,경상북도/구미시
47210,Yeongju-si,영주시,1097834.589,1875251.27,경상북도/영주시
47230,Yeongcheon-si,영천시,1129998.643,1780845.94,경상북도/영천시
47250,Sangju-si,상주시,1050824.703,1825922.576,경상북도/상주시
47280,Mungyeong-si,문경시,1057943.806,1854952.709,경상북도/문경시
47290,Gyeongsan-si,경산시,1118231.965,1760519.324,경상북도/경산시
47720,Gunwi-gun,군위군,1103266.16,1797612.355,경상북도/군위군
47730,Uiseong-gun,의성군,1100038.896,1818867.87,경상북도/의성군
47750,Cheongsong-gun,청송군,1139733.269,1818854.482,경상북도/청송군
47760,Yeongyang-gun,영양군,1146954.062,1856638.49,경상북도/영양군
47770,Yeongdeok-gun,영덕군,1162800.53,1833174.903,경상북도/영덕군
47820,Cheongdo-gun,청도군,1116431.606,1742624.917,경상북도/청도군
47830,Goryeong-gun,고령군,1072924.723,1749263.023,경상북도/고령군
47840,Seongju-gun,성주군,1066176.878,1768091.635,경상북도/성주군
47850,Chilgok-gun,칠곡군,1086739.67,1780282.324,경상북도/칠곡군
47900,Yecheon-gun,예천군,1082441.668,1851054.577,경상북도/예천군
47920,Bonghwa-gun,봉화군,1125826.241,1882683.698,경상북도/봉화군
47930,Uljin-gun,울진군,1161466.025,1879930.177,경상북도/울진군
47940,Ulleung-gun,울릉군,1297397.62,1950063.673,경상북도/울릉군
48121,"Uichang-gu, Changwon-si",창원시 의창구,1104455.293,1702391.235,경상남도/창원시/의창구
48123,"Seongsan-gu, Changwon-si",창원시 성산구,1106653.544,1689911.226,경상남도/창원시/성산구
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,1089791.503,1682708.855,경상남도/창원시/마산합포구
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,1094309.997,1693473.702,경상남도/창원시/마산회원구
48129,"Jinhae-gu, Changwon-si",창원시 진해구,1112638.829,1682338.449,경상남도/창원시/진해구
48170,Jinju-si,진주시,1057326.975,1690161.278,경상남도/진주시
48220,Tongyeong-si,통영시,1079959.159,1648677.096,경상남도/통영시
